13.0,14.0,11.0,10.0,18.0,20.0,22.0,21.0,5.0,3.0,2.0,6.0,4.0,0.0,24.0,1.0,23.0,19.0,7.0,9.0,8.0,17.0,16.0,15.0,12.0,11481.144043668459
21.0,16.0,17.0,14.0,9.0,10.0,13.0,12.0,11.0,15.0,18.0,19.0,20.0,2.0,23.0,1.0,0.0,4.0,6.0,5.0,8.0,7.0,3.0,24.0,22.0,11323.674233225483
19.0,23.0,1.0,4.0,6.0,2.0,9.0,16.0,14.0,12.0,13.0,7.0,5.0,0.0,24.0,22.0,3.0,21.0,20.0,10.0,11.0,8.0,15.0,17.0,18.0,14421.419083658004
19.0,16.0,15.0,12.0,21.0,22.0,0.0,2.0,20.0,18.0,17.0,8.0,14.0,9.0,6.0,5.0,3.0,24.0,23.0,1.0,4.0,7.0,10.0,11.0,13.0,13743.241027041866
11.0,14.0,17.0,16.0,21.0,2.0,22.0,24.0,6.0,8.0,10.0,15.0,18.0,19.0,20.0,0.0,1.0,23.0,3.0,4.0,5.0,7.0,13.0,9.0,12.0,12796.421748737943
19.0,18.0,16.0,12.0,14.0,17.0,15.0,11.0,13.0,10.0,9.0,8.0,7.0,22.0,23.0,21.0,24.0,1.0,0.0,2.0,3.0,4.0,6.0,5.0,20.0,9619.5656936204232
10.0,9.0,8.0,12.0,13.0,16.0,11.0,7.0,5.0,6.0,17.0,19.0,20.0,21.0,24.0,0.0,1.0,22.0,23.0,4.0,2.0,3.0,18.0,14.0,15.0,11524.991866442568
17.0,6.0,7.0,9.0,8.0,15.0,16.0,12.0,14.0,13.0,11.0,10.0,5.0,4.0,24.0,1.0,2.0,3.0,22.0,23.0,0.0,21.0,20.0,19.0,18.0,9790.2869654979258
13.0,12.0,11.0,10.0,8.0,9.0,7.0,5.0,6.0,16.0,17.0,19.0,23.0,22.0,3.0,24.0,1.0,0.0,2.0,4.0,21.0,20.0,18.0,15.0,14.0,9909.5346756160543
5.0,4.0,18.0,19.0,20.0,21.0,24.0,22.0,1.0,3.0,2.0,0.0,23.0,7.0,6.0,12.0,11.0,13.0,15.0,14.0,17.0,16.0,10.0,9.0,8.0,10723.997937724562
